Update_Date,Industry,Symbol,Name,Latest_Price,Max_High,Days_Since_High,Today_Return,Return_5D,Breakout_Margin,Distance_To_High,MA5,MA10,MA20,Klines
2026-05-28,汽車工業,1568,倉佑,41.25,37.5,1,10.0,49.24,10.0,,34.42,30.9,29.55,"[{""date"": ""04-30"", ""open"": 27.45, ""close"": 27.69, ""low"": 27.2, ""high"": 27.79, ""volume"": 256010}, {""date"": ""05-04"", ""open"": 27.69, ""close"": 29.34, ""low"": 27.69, ""high"": 30.12, ""volume"": 1643065}, {""date"": ""05-05"", ""open"": 29.53, ""close"": 28.71, ""low"": 28.32, ""high"": 29.73, ""volume"": 634033}, {""date"": ""05-06"", ""open"": 29.1, ""close"": 28.22, ""low"": 27.98, ""high"": 29.1, ""volume"": 377006}, {""date"": ""05-07"", ""open"": 28.22, ""close"": 28.61, ""low"": 28.22, ""high"": 29.05, ""volume"": 433000}, {""date"": ""05-08"", ""open"": 28.32, ""close"": 28.08, ""low"": 27.79, ""high"": 29.1, ""volume"": 281174}, {""date"": ""05-11"", ""open"": 28.13, ""close"": 27.98, ""low"": 27.45, ""high"": 28.37, ""volume"": 400000}, {""date"": ""05-12"", ""open"": 28.03, ""close"": 28.08, ""low"": 27.3, ""high"": 28.56, ""volume"": 613150}, {""date"": ""05-13"", ""open"": 27.69, ""close"": 27.79, ""low"": 27.69, ""high"": 28.32, ""volume"": 243210}, {""date"": ""05-14"", ""open"": 27.79, ""close"": 27.54, ""low"": 27.4, ""high"": 28.32, ""volume"": 345018}, {""date"": ""05-15"", ""open"": 27.98, ""close"": 27.83, ""low"": 27.54, ""high"": 28.22, ""volume"": 232060}, {""date"": ""05-18"", ""open"": 28.13, ""close"": 27.54, ""low"": 27.35, ""high"": 28.13, ""volume"": 180014}, {""date"": ""05-19"", ""open"": 27.79, ""close"": 26.72, ""low"": 26.62, ""high"": 27.93, ""volume"": 349100}, {""date"": ""05-20"", ""open"": 27.3, ""close"": 27.2, ""low"": 26.91, ""high"": 27.98, ""volume"": 209000}, {""date"": ""05-21"", ""open"": 27.54, ""close"": 27.64, ""low"": 27.25, ""high"": 27.69, ""volume"": 216105}, {""date"": ""05-22"", ""open"": 28.13, ""close"": 28.22, ""low"": 27.83, ""high"": 28.37, ""volume"": 277104}, {""date"": ""05-25"", ""open"": 28.66, ""close"": 31.04, ""low"": 28.22, ""high"": 31.04, ""volume"": 2227501}, {""date"": ""05-26"", ""open"": 34.1, ""close"": 34.1, ""low"": 34.1, ""high"": 34.1, ""volume"": 1848654}, {""date"": ""05-27"", ""open"": 37.5, ""close"": 37.5, ""low"": 37.5, ""high"": 37.5, ""volume"": 1392544}, {""date"": ""05-28"", ""open"": 41.25, ""close"": 41.25, ""low"": 41.25, ""high"": 41.25, ""volume"": 1525338}]"
2026-05-28,電子零組件業,2472,立隆電,371.0,337.5,1,9.93,39.47,9.93,,311.0,276.0,241.58,"[{""date"": ""04-30"", ""open"": 180.5, ""close"": 176.5, ""low"": 174.0, ""high"": 181.5, ""volume"": 2699833}, {""date"": ""05-04"", ""open"": 179.0, ""close"": 184.0, ""low"": 175.0, ""high"": 188.0, ""volume"": 4646211}, {""date"": ""05-05"", ""open"": 184.0, ""close"": 188.5, ""low"": 183.5, ""high"": 193.0, ""volume"": 4219900}, {""date"": ""05-06"", ""open"": 192.5, ""close"": 186.5, ""low"": 181.0, ""high"": 193.0, ""volume"": 4110271}, {""date"": ""05-07"", ""open"": 191.0, ""close"": 201.5, ""low"": 188.0, ""high"": 205.0, ""volume"": 9371333}, {""date"": ""05-08"", ""open"": 198.5, ""close"": 221.5, ""low"": 197.5, ""high"": 221.5, ""volume"": 10621703}, {""date"": ""05-11"", ""open"": 219.0, ""close"": 225.0, ""low"": 203.5, ""high"": 228.0, ""volume"": 15968889}, {""date"": ""05-12"", ""open"": 221.5, ""close"": 223.0, ""low"": 209.5, ""high"": 234.0, ""volume"": 16307351}, {""date"": ""05-13"", ""open"": 219.0, ""close"": 233.5, ""low"": 218.0, ""high"": 234.0, ""volume"": 10976549}, {""date"": ""05-14"", ""open"": 236.0, ""close"": 231.5, ""low"": 227.0, ""high"": 256.0, ""volume"": 18438324}, {""date"": ""05-15"", ""open"": 228.5, ""close"": 217.0, ""low"": 213.0, ""high"": 231.5, ""volume"": 13185190}, {""date"": ""05-18"", ""open"": 215.0, ""close"": 235.0, ""low"": 215.0, ""high"": 236.0, ""volume"": 12013357}, {""date"": ""05-19"", ""open"": 235.0, ""close"": 232.0, ""low"": 226.0, ""high"": 237.5, ""volume"": 7641466}, {""date"": ""05-20"", ""open"": 234.0, ""close"": 255.0, ""low"": 232.0, ""high"": 255.0, ""volume"": 14157245}, {""date"": ""05-21"", ""open"": 264.5, ""close"": 266.0, ""low"": 255.0, ""high"": 272.5, ""volume"": 30951649}, {""date"": ""05-22"", ""open"": 265.0, ""close"": 260.0, ""low"": 258.0, ""high"": 271.0, ""volume"": 16368100}, {""date"": ""05-25"", ""open"": 276.0, ""close"": 279.5, ""low"": 260.0, ""high"": 286.0, ""volume"": 23399877}, {""date"": ""05-26"", ""open"": 280.5, ""close"": 307.0, ""low"": 266.0, ""high"": 307.0, ""volume"": 14772351}, {""date"": ""05-27"", ""open"": 337.0, ""close"": 337.5, ""low"": 328.5, ""high"": 337.5, ""volume"": 12120847}, {""date"": ""05-28"", ""open"": 352.0, ""close"": 371.0, ""low"": 352.0, ""high"": 371.0, ""volume"": 8661125}]"
2026-05-28,電子零組件業,6141,柏承,43.2,39.3,1,9.92,27.06,9.92,,36.95,34.67,33.77,"[{""date"": ""04-30"", ""open"": 33.2, ""close"": 32.5, ""low"": 32.35, ""high"": 33.2, ""volume"": 536787}, {""date"": ""05-04"", ""open"": 33.5, ""close"": 35.0, ""low"": 33.5, ""high"": 35.0, ""volume"": 1096295}, {""date"": ""05-05"", ""open"": 36.8, ""close"": 36.7, ""low"": 35.8, ""high"": 37.0, ""volume"": 1161600}, {""date"": ""05-06"", ""open"": 37.0, ""close"": 35.7, ""low"": 34.0, ""high"": 38.0, ""volume"": 916800}, {""date"": ""05-07"", ""open"": 36.5, ""close"": 36.5, ""low"": 36.1, ""high"": 39.0, ""volume"": 3688023}, {""date"": ""05-08"", ""open"": 33.3, ""close"": 33.1, ""low"": 32.85, ""high"": 36.0, ""volume"": 2760515}, {""date"": ""05-11"", ""open"": 33.1, ""close"": 33.25, ""low"": 31.45, ""high"": 34.5, ""volume"": 1377599}, {""date"": ""05-12"", ""open"": 34.0, ""close"": 31.7, ""low"": 31.6, ""high"": 34.2, ""volume"": 1728505}, {""date"": ""05-13"", ""open"": 28.55, ""close"": 28.55, ""low"": 28.55, ""high"": 28.55, ""volume"": 1572009}, {""date"": ""05-14"", ""open"": 25.7, ""close"": 25.7, ""low"": 25.7, ""high"": 25.7, ""volume"": 987900}, {""date"": ""05-15"", ""open"": 23.15, ""close"": 28.25, ""low"": 23.15, ""high"": 28.25, ""volume"": 7282615}, {""date"": ""05-18"", ""open"": 31.05, ""close"": 31.05, ""low"": 31.05, ""high"": 31.05, ""volume"": 1446133}, {""date"": ""05-19"", ""open"": 34.15, ""close"": 34.15, ""low"": 34.15, ""high"": 34.15, ""volume"": 4091997}, {""date"": ""05-20"", ""open"": 34.9, ""close"": 34.5, ""low"": 33.1, ""high"": 37.3, ""volume"": 6614116}, {""date"": ""05-21"", ""open"": 33.0, ""close"": 34.0, ""low"": 31.5, ""high"": 34.5, ""volume"": 3391841}, {""date"": ""05-22"", ""open"": 33.8, ""close"": 34.0, ""low"": 33.3, ""high"": 36.5, ""volume"": 2531301}, {""date"": ""05-25"", ""open"": 34.0, ""close"": 32.5, ""low"": 31.6, ""high"": 34.0, ""volume"": 3433058}, {""date"": ""05-26"", ""open"": 32.95, ""close"": 35.75, ""low"": 32.5, ""high"": 35.75, ""volume"": 5080277}, {""date"": ""05-27"", ""open"": 39.25, ""close"": 39.3, ""low"": 37.55, ""high"": 39.3, ""volume"": 6848850}, {""date"": ""05-28"", ""open"": 41.95, ""close"": 43.2, ""low"": 41.9, ""high"": 43.2, ""volume"": 3936512}]"
2026-05-28,汽車工業,1563,巧新,61.1,55.6,1,9.89,33.7,9.89,,51.87,48.52,45.81,"[{""date"": ""04-30"", ""open"": 41.6, ""close"": 41.45, ""low"": 41.15, ""high"": 41.6, ""volume"": 338125}, {""date"": ""05-04"", ""open"": 41.45, ""close"": 41.35, ""low"": 41.15, ""high"": 41.7, ""volume"": 535100}, {""date"": ""05-05"", ""open"": 41.35, ""close"": 41.25, ""low"": 40.85, ""high"": 41.65, ""volume"": 735100}, {""date"": ""05-06"", ""open"": 41.4, ""close"": 42.05, ""low"": 40.45, ""high"": 42.4, ""volume"": 1124758}, {""date"": ""05-07"", ""open"": 42.4, ""close"": 43.55, ""low"": 41.65, ""high"": 43.75, ""volume"": 1858717}, {""date"": ""05-08"", ""open"": 43.8, ""close"": 43.9, ""low"": 43.0, ""high"": 44.05, ""volume"": 1009666}, {""date"": ""05-11"", ""open"": 44.0, ""close"": 43.8, ""low"": 43.2, ""high"": 44.0, ""volume"": 687473}, {""date"": ""05-12"", ""open"": 43.9, ""close"": 44.0, ""low"": 43.05, ""high"": 44.2, ""volume"": 768006}, {""date"": ""05-13"", ""open"": 44.1, ""close"": 44.2, ""low"": 43.9, ""high"": 44.8, ""volume"": 1086100}, {""date"": ""05-14"", ""open"": 44.4, ""close"": 45.4, ""low"": 44.4, ""high"": 46.6, ""volume"": 1562065}, {""date"": ""05-15"", ""open"": 45.65, ""close"": 44.75, ""low"": 44.5, ""high"": 46.3, ""volume"": 860593}, {""date"": ""05-18"", ""open"": 44.8, ""close"": 45.15, ""low"": 44.5, ""high"": 45.8, ""volume"": 493245}, {""date"": ""05-19"", ""open"": 45.25, ""close"": 45.3, ""low"": 45.2, ""high"": 46.3, ""volume"": 621050}, {""date"": ""05-20"", ""open"": 45.3, ""close"": 45.0, ""low"": 44.65, ""high"": 45.4, ""volume"": 475225}, {""date"": ""05-21"", ""open"": 45.3, ""close"": 45.7, ""low"": 44.6, ""high"": 45.75, ""volume"": 768821}, {""date"": ""05-22"", ""open"": 45.7, ""close"": 46.05, ""low"": 45.1, ""high"": 46.1, ""volume"": 721400}, {""date"": ""05-25"", ""open"": 46.05, ""close"": 46.0, ""low"": 45.45, ""high"": 46.35, ""volume"": 801030}, {""date"": ""05-26"", ""open"": 50.6, ""close"": 50.6, ""low"": 50.6, ""high"": 50.6, ""volume"": 1572954}, {""date"": ""05-27"", ""open"": 55.6, ""close"": 55.6, ""low"": 55.6, ""high"": 55.6, ""volume"": 1368928}, {""date"": ""05-28"", ""open"": 61.1, ""close"": 61.1, ""low"": 61.1, ""high"": 61.1, ""volume"": 4720092}]"
2026-05-28,電子零組件業,2375,凱美,161.5,147.0,1,9.86,31.84,9.86,,143.0,125.29,108.46,"[{""date"": ""04-30"", ""open"": 88.2, ""close"": 85.0, ""low"": 85.0, ""high"": 89.9, ""volume"": 3712653}, {""date"": ""05-04"", ""open"": 86.4, ""close"": 87.6, ""low"": 85.1, ""high"": 89.9, ""volume"": 3303086}, {""date"": ""05-05"", ""open"": 88.3, ""close"": 90.0, ""low"": 87.6, ""high"": 90.4, ""volume"": 5054954}, {""date"": ""05-06"", ""open"": 91.0, ""close"": 88.7, ""low"": 86.3, ""high"": 92.5, ""volume"": 4740268}, {""date"": ""05-07"", ""open"": 91.0, ""close"": 91.3, ""low"": 88.2, ""high"": 96.5, ""volume"": 11465674}, {""date"": ""05-08"", ""open"": 92.1, ""close"": 90.4, ""low"": 89.5, ""high"": 95.5, ""volume"": 8973842}, {""date"": ""05-11"", ""open"": 90.0, ""close"": 91.5, ""low"": 86.5, ""high"": 91.8, ""volume"": 4857792}, {""date"": ""05-12"", ""open"": 91.5, ""close"": 94.8, ""low"": 89.6, ""high"": 95.9, ""volume"": 10275909}, {""date"": ""05-13"", ""open"": 93.8, ""close"": 96.0, ""low"": 91.7, ""high"": 96.4, ""volume"": 7000893}, {""date"": ""05-14"", ""open"": 103.5, ""close"": 101.0, ""low"": 98.1, ""high"": 105.5, ""volume"": 18565569}, {""date"": ""05-15"", ""open"": 100.0, ""close"": 99.4, ""low"": 99.4, ""high"": 110.5, ""volume"": 21311167}, {""date"": ""05-18"", ""open"": 101.0, ""close"": 103.0, ""low"": 99.4, ""high"": 104.5, ""volume"": 13079753}, {""date"": ""05-19"", ""open"": 100.0, ""close"": 101.5, ""low"": 98.7, ""high"": 103.0, ""volume"": 8106972}, {""date"": ""05-20"", ""open"": 101.5, ""close"": 111.5, ""low"": 101.0, ""high"": 111.5, ""volume"": 11873830}, {""date"": ""05-21"", ""open"": 116.5, ""close"": 122.5, ""low"": 116.5, ""high"": 122.5, ""volume"": 10618673}, {""date"": ""05-22"", ""open"": 131.5, ""close"": 134.5, ""low"": 125.5, ""high"": 134.5, ""volume"": 27905512}, {""date"": ""05-25"", ""open"": 142.0, ""close"": 138.0, ""low"": 133.5, ""high"": 145.0, ""volume"": 39794123}, {""date"": ""05-26"", ""open"": 134.0, ""close"": 134.0, ""low"": 126.0, ""high"": 135.5, ""volume"": 17063548}, {""date"": ""05-27"", ""open"": 137.0, ""close"": 147.0, ""low"": 133.0, ""high"": 147.0, ""volume"": 32581803}, {""date"": ""05-28"", ""open"": 148.0, ""close"": 161.5, ""low"": 145.0, ""high"": 161.5, ""volume"": 29043467}]"
2026-05-28,電子零組件業,3021,鴻名,27.4,24.95,1,9.82,60.23,9.82,,22.9,19.94,18.21,"[{""date"": ""04-30"", ""open"": 16.75, ""close"": 17.2, ""low"": 16.7, ""high"": 17.55, ""volume"": 457000}, {""date"": ""05-04"", ""open"": 17.4, ""close"": 16.7, ""low"": 16.7, ""high"": 17.4, ""volume"": 186020}, {""date"": ""05-05"", ""open"": 16.3, ""close"": 16.2, ""low"": 16.2, ""high"": 16.45, ""volume"": 553000}, {""date"": ""05-06"", ""open"": 16.3, ""close"": 16.45, ""low"": 16.15, ""high"": 16.55, ""volume"": 125001}, {""date"": ""05-07"", ""open"": 16.5, ""close"": 16.25, ""low"": 16.2, ""high"": 16.5, ""volume"": 116000}, {""date"": ""05-08"", ""open"": 16.4, ""close"": 16.3, ""low"": 16.25, ""high"": 16.5, ""volume"": 128010}, {""date"": ""05-11"", ""open"": 16.35, ""close"": 16.4, ""low"": 16.3, ""high"": 16.65, ""volume"": 95000}, {""date"": ""05-12"", ""open"": 16.55, ""close"": 16.15, ""low"": 16.15, ""high"": 16.55, ""volume"": 100000}, {""date"": ""05-13"", ""open"": 16.2, ""close"": 16.2, ""low"": 16.05, ""high"": 16.3, ""volume"": 91022}, {""date"": ""05-14"", ""open"": 16.4, ""close"": 17.0, ""low"": 16.25, ""high"": 17.6, ""volume"": 378081}, {""date"": ""05-15"", ""open"": 17.65, ""close"": 17.0, ""low"": 16.8, ""high"": 17.9, ""volume"": 800000}, {""date"": ""05-18"", ""open"": 17.0, ""close"": 17.0, ""low"": 16.6, ""high"": 17.25, ""volume"": 259060}, {""date"": ""05-19"", ""open"": 17.0, ""close"": 16.75, ""low"": 16.75, ""high"": 17.2, ""volume"": 105000}, {""date"": ""05-20"", ""open"": 16.85, ""close"": 17.0, ""low"": 16.85, ""high"": 17.2, ""volume"": 128335}, {""date"": ""05-21"", ""open"": 17.0, ""close"": 17.1, ""low"": 17.0, ""high"": 17.2, ""volume"": 133200}, {""date"": ""05-22"", ""open"": 17.55, ""close"": 18.8, ""low"": 17.35, ""high"": 18.8, ""volume"": 1356430}, {""date"": ""05-25"", ""open"": 19.5, ""close"": 20.65, ""low"": 19.5, ""high"": 20.65, ""volume"": 2924404}, {""date"": ""05-26"", ""open"": 22.7, ""close"": 22.7, ""low"": 22.7, ""high"": 22.7, ""volume"": 622784}, {""date"": ""05-27"", ""open"": 24.95, ""close"": 24.95, ""low"": 24.95, ""high"": 24.95, ""volume"": 492001}, {""date"": ""05-28"", ""open"": 27.4, ""close"": 27.4, ""low"": 27.4, ""high"": 27.4, ""volume"": 492326}]"
2026-05-28,電子通路業,3528,安馳,113.5,103.5,1,9.66,33.06,9.66,,99.36,91.64,87.48,"[{""date"": ""04-30"", ""open"": 80.0, ""close"": 79.9, ""low"": 78.9, ""high"": 80.4, ""volume"": 346200}, {""date"": ""05-04"", ""open"": 80.2, ""close"": 80.3, ""low"": 79.3, ""high"": 81.8, ""volume"": 397170}, {""date"": ""05-05"", ""open"": 81.0, ""close"": 82.9, ""low"": 80.3, ""high"": 83.0, ""volume"": 469150}, {""date"": ""05-06"", ""open"": 83.5, ""close"": 84.3, ""low"": 82.9, ""high"": 84.8, ""volume"": 565343}, {""date"": ""05-07"", ""open"": 85.8, ""close"": 88.5, ""low"": 85.8, ""high"": 88.5, ""volume"": 916062}, {""date"": ""05-08"", ""open"": 89.5, ""close"": 91.0, ""low"": 87.6, ""high"": 92.6, ""volume"": 1471000}, {""date"": ""05-11"", ""open"": 88.0, ""close"": 82.5, ""low"": 81.9, ""high"": 88.0, ""volume"": 2790025}, {""date"": ""05-12"", ""open"": 82.5, ""close"": 79.0, ""low"": 76.8, ""high"": 82.9, ""volume"": 1274018}, {""date"": ""05-13"", ""open"": 77.7, ""close"": 81.7, ""low"": 77.7, ""high"": 81.7, ""volume"": 592150}, {""date"": ""05-14"", ""open"": 82.0, ""close"": 83.0, ""low"": 82.0, ""high"": 84.5, ""volume"": 888270}, {""date"": ""05-15"", ""open"": 85.0, ""close"": 86.6, ""low"": 83.8, ""high"": 91.0, ""volume"": 1394010}, {""date"": ""05-18"", ""open"": 86.5, ""close"": 83.0, ""low"": 82.3, ""high"": 86.5, ""volume"": 680051}, {""date"": ""05-19"", ""open"": 83.4, ""close"": 81.8, ""low"": 81.2, ""high"": 85.6, ""volume"": 302150}, {""date"": ""05-20"", ""open"": 82.0, ""close"": 82.9, ""low"": 82.0, ""high"": 85.3, ""volume"": 481000}, {""date"": ""05-21"", ""open"": 83.5, ""close"": 85.3, ""low"": 83.4, ""high"": 85.3, ""volume"": 495049}, {""date"": ""05-22"", ""open"": 86.8, ""close"": 93.8, ""low"": 85.4, ""high"": 93.8, ""volume"": 1889220}, {""date"": ""05-25"", ""open"": 97.2, ""close"": 91.6, ""low"": 91.3, ""high"": 98.4, ""volume"": 1823481}, {""date"": ""05-26"", ""open"": 92.5, ""close"": 94.4, ""low"": 89.1, ""high"": 95.0, ""volume"": 839646}, {""date"": ""05-27"", ""open"": 97.8, ""close"": 103.5, ""low"": 96.4, ""high"": 103.5, ""volume"": 3646420}, {""date"": ""05-28"", ""open"": 112.5, ""close"": 113.5, ""low"": 111.0, ""high"": 113.5, ""volume"": 1071447}]"
2026-05-28,電子零組件業,2428,興勤,292.5,267.5,1,9.96,27.17,9.35,,260.0,238.45,214.98,"[{""date"": ""04-30"", ""open"": 180.0, ""close"": 174.0, ""low"": 174.0, ""high"": 180.5, ""volume"": 934015}, {""date"": ""05-04"", ""open"": 177.5, ""close"": 182.0, ""low"": 176.0, ""high"": 183.0, ""volume"": 1089325}, {""date"": ""05-05"", ""open"": 181.0, ""close"": 185.5, ""low"": 181.0, ""high"": 189.0, ""volume"": 1558102}, {""date"": ""05-06"", ""open"": 187.0, ""close"": 185.0, ""low"": 180.0, ""high"": 187.5, ""volume"": 1015677}, {""date"": ""05-07"", ""open"": 185.5, ""close"": 188.5, ""low"": 183.5, ""high"": 194.5, ""volume"": 1997488}, {""date"": ""05-08"", ""open"": 182.0, ""close"": 190.5, ""low"": 178.0, ""high"": 193.0, ""volume"": 3853467}, {""date"": ""05-11"", ""open"": 191.0, ""close"": 193.0, ""low"": 185.0, ""high"": 196.0, ""volume"": 1808196}, {""date"": ""05-12"", ""open"": 193.0, ""close"": 201.5, ""low"": 193.0, ""high"": 204.5, ""volume"": 2759222}, {""date"": ""05-13"", ""open"": 199.0, ""close"": 203.0, ""low"": 195.5, ""high"": 203.5, ""volume"": 1348034}, {""date"": ""05-14"", ""open"": 210.5, ""close"": 212.0, ""low"": 208.0, ""high"": 219.0, ""volume"": 3184068}, {""date"": ""05-15"", ""open"": 214.0, ""close"": 206.0, ""low"": 204.5, ""high"": 220.5, ""volume"": 2787214}, {""date"": ""05-18"", ""open"": 203.0, ""close"": 211.5, ""low"": 201.5, ""high"": 213.0, ""volume"": 1407318}, {""date"": ""05-19"", ""open"": 211.5, ""close"": 214.0, ""low"": 211.0, ""high"": 219.0, ""volume"": 1736590}, {""date"": ""05-20"", ""open"": 215.0, ""close"": 223.0, ""low"": 215.0, ""high"": 233.0, ""volume"": 3375467}, {""date"": ""05-21"", ""open"": 226.0, ""close"": 230.0, ""low"": 225.5, ""high"": 235.5, ""volume"": 2748089}, {""date"": ""05-22"", ""open"": 230.5, ""close"": 242.5, ""low"": 230.0, ""high"": 243.5, ""volume"": 2068382}, {""date"": ""05-25"", ""open"": 252.0, ""close"": 243.0, ""low"": 240.0, ""high"": 253.5, ""volume"": 2570641}, {""date"": ""05-26"", ""open"": 243.5, ""close"": 256.0, ""low"": 233.0, ""high"": 257.5, ""volume"": 3078545}, {""date"": ""05-27"", ""open"": 260.0, ""close"": 266.0, ""low"": 255.5, ""high"": 267.5, ""volume"": 2386640}, {""date"": ""05-28"", ""open"": 292.5, ""close"": 292.5, ""low"": 287.5, ""high"": 292.5, ""volume"": 2355879}]"
2026-05-28,電子零組件業,2492,華新科,388.0,361.0,1,7.48,45.86,7.48,,338.3,284.3,225.22,"[{""date"": ""04-30"", ""open"": 134.5, ""close"": 131.5, ""low"": 131.0, ""high"": 136.5, ""volume"": 9114122}, {""date"": ""05-04"", ""open"": 134.0, ""close"": 138.5, ""low"": 131.5, ""high"": 143.5, ""volume"": 11002862}, {""date"": ""05-05"", ""open"": 138.0, ""close"": 148.5, ""low"": 137.0, ""high"": 149.5, ""volume"": 18099291}, {""date"": ""05-06"", ""open"": 153.0, ""close"": 147.0, ""low"": 144.5, ""high"": 155.0, ""volume"": 19160984}, {""date"": ""05-07"", ""open"": 150.0, ""close"": 160.0, ""low"": 146.5, ""high"": 161.5, ""volume"": 40694669}, {""date"": ""05-08"", ""open"": 159.5, ""close"": 156.0, ""low"": 152.5, ""high"": 164.5, ""volume"": 39375348}, {""date"": ""05-11"", ""open"": 158.5, ""close"": 171.5, ""low"": 151.5, ""high"": 171.5, ""volume"": 29880600}, {""date"": ""05-12"", ""open"": 175.0, ""close"": 188.5, ""low"": 167.5, ""high"": 188.5, ""volume"": 40948652}, {""date"": ""05-13"", ""open"": 184.5, ""close"": 200.0, ""low"": 181.5, ""high"": 205.0, ""volume"": 56249025}, {""date"": ""05-14"", ""open"": 220.0, ""close"": 220.0, ""low"": 215.5, ""high"": 220.0, ""volume"": 28565781}, {""date"": ""05-15"", ""open"": 215.0, ""close"": 206.0, ""low"": 204.5, ""high"": 222.5, ""volume"": 12339110}, {""date"": ""05-18"", ""open"": 210.0, ""close"": 217.5, ""low"": 206.0, ""high"": 219.0, ""volume"": 8768821}, {""date"": ""05-19"", ""open"": 213.0, ""close"": 220.0, ""low"": 213.0, ""high"": 222.0, ""volume"": 8739247}, {""date"": ""05-20"", ""open"": 224.0, ""close"": 242.0, ""low"": 224.0, ""high"": 242.0, ""volume"": 9723757}, {""date"": ""05-21"", ""open"": 259.5, ""close"": 266.0, ""low"": 259.5, ""high"": 266.0, ""volume"": 6967023}, {""date"": ""05-22"", ""open"": 280.5, ""close"": 292.5, ""low"": 280.5, ""high"": 292.5, ""volume"": 10755860}, {""date"": ""05-25"", ""open"": 306.0, ""close"": 321.5, ""low"": 306.0, ""high"": 321.5, ""volume"": 5666758}, {""date"": ""05-26"", ""open"": 303.0, ""close"": 328.5, ""low"": 289.5, ""high"": 330.0, ""volume"": 13534121}, {""date"": ""05-27"", ""open"": 345.0, ""close"": 361.0, ""low"": 345.0, ""high"": 361.0, ""volume"": 5135181}, {""date"": ""05-28"", ""open"": 355.0, ""close"": 388.0, ""low"": 355.0, ""high"": 397.0, ""volume"": 4571961}]"
2026-05-28,紡織纖維,1409,新纖,20.75,19.4,1,9.79,22.42,6.96,,18.42,17.6,17.26,"[{""date"": ""04-30"", ""open"": 17.55, ""close"": 16.8, ""low"": 16.8, ""high"": 17.8, ""volume"": 14121644}, {""date"": ""05-04"", ""open"": 17.0, ""close"": 16.6, ""low"": 16.55, ""high"": 17.0, ""volume"": 8578459}, {""date"": ""05-05"", ""open"": 16.65, ""close"": 17.1, ""low"": 16.55, ""high"": 17.15, ""volume"": 9183204}, {""date"": ""05-06"", ""open"": 17.15, ""close"": 16.9, ""low"": 16.85, ""high"": 17.3, ""volume"": 8393449}, {""date"": ""05-07"", ""open"": 17.0, ""close"": 16.8, ""low"": 16.75, ""high"": 17.0, ""volume"": 6268034}, {""date"": ""05-08"", ""open"": 16.8, ""close"": 16.8, ""low"": 16.7, ""high"": 17.0, ""volume"": 5196361}, {""date"": ""05-11"", ""open"": 16.9, ""close"": 17.2, ""low"": 16.8, ""high"": 17.3, ""volume"": 10955695}, {""date"": ""05-12"", ""open"": 17.3, ""close"": 16.85, ""low"": 16.7, ""high"": 17.35, ""volume"": 7333407}, {""date"": ""05-13"", ""open"": 16.8, ""close"": 16.9, ""low"": 16.65, ""high"": 17.0, ""volume"": 7988120}, {""date"": ""05-14"", ""open"": 16.9, ""close"": 17.25, ""low"": 16.9, ""high"": 17.4, ""volume"": 12671614}, {""date"": ""05-15"", ""open"": 17.4, ""close"": 16.85, ""low"": 16.85, ""high"": 17.4, ""volume"": 7231888}, {""date"": ""05-18"", ""open"": 16.8, ""close"": 16.7, ""low"": 16.65, ""high"": 16.85, ""volume"": 5105464}, {""date"": ""05-19"", ""open"": 16.7, ""close"": 16.7, ""low"": 16.65, ""high"": 16.95, ""volume"": 4068378}, {""date"": ""05-20"", ""open"": 16.85, ""close"": 16.65, ""low"": 16.6, ""high"": 16.9, ""volume"": 2948331}, {""date"": ""05-21"", ""open"": 16.7, ""close"": 16.95, ""low"": 16.7, ""high"": 17.15, ""volume"": 6460233}, {""date"": ""05-22"", ""open"": 17.0, ""close"": 17.2, ""low"": 16.9, ""high"": 17.25, ""volume"": 8955926}, {""date"": ""05-25"", ""open"": 17.35, ""close"": 17.6, ""low"": 17.25, ""high"": 17.65, ""volume"": 13020706}, {""date"": ""05-26"", ""open"": 17.65, ""close"": 17.65, ""low"": 17.4, ""high"": 18.0, ""volume"": 15667926}, {""date"": ""05-27"", ""open"": 18.2, ""close"": 18.9, ""low"": 18.2, ""high"": 19.4, ""volume"": 57225917}, {""date"": ""05-28"", ""open"": 19.35, ""close"": 20.75, ""low"": 19.2, ""high"": 20.75, ""volume"": 77812372}]"
